تے SC
دے VBF
وچ PRE
دی PSP
دا PSP
نوں PSP
نیں AUXT
کے PSP
ای AUXT
سی AUXT
اے AUXT
نال PSP
وی RB
توں PRP
او PRP
میں PRP
نے PSP
اک CD
کر VBF
ایس PRS
پر PSP
اوناں PRS
جو PRD
سن VBF
اوس PRS
لئی VBF
کوئی JJ
گیا VBF
گل NN
اتے NN
تاں SC
دیاں VBF
جے SCP
کی PRP
پئی VBF
ویا NN
کجھ Q
اس PDM
مینوں PRP
گئی AUXA
میرے PRS
کسے PRS
کیتا VBF
اپنے APNA
لے VBF
جا VBF
گھر NN
دل NN
کرن VBF
کیا PRP
زبان NN
ریا VBF
گئے AUXA
والے VALA
گا AUXT
آیا AUXA
حسین NNP
دتا VBF
جان NN
وئی VBF
جدوں PRR
آ AUXA
وئے VBF
اودے PRS
کم NN
جاندا VBF
دو CD
آکھیا VBF
کیتی VBF
سر NN
ول NN
ایناں PRP
اندر NN
دن NN
کلاسک NN
آپ PRF
جی RB
پروفیسر NN
اونوں PRS
جس PRD
اپنی APNA
انج SC
ویلے JJ
من PRP
سعید NN
کیوں RB
ناول NN
نجم NN
بھٹا NN
بند VBF
پیا VBF
سیّد NN
ویکھ VBF
میری PRS
بت NN
میرا PRS
بن VBF
اج NN
والا VALA
تیرے PRS
پنجابی NNP
سو CD
جاوے VBF
بار QM
والی VALA
لیا VBF
مار NN
کرے VBF
سارے JJ
رب NN
لگ VBF
اگے NN
بھی RB
وچوں PSP
سے PSP
ماں NN
فیر RB
تھیں AUXT
آئی AUXA
ناں NN
کول RB
پت NN
پھیر VBF
لوکاں NN
کو PSP
کئی QM
لوک NN
جاں NN
صاحب NN
جیویں NN
دنیا NN
وارث NN
پاکستان NNP
کا PSP
بارے PRE
ملک NN
تینوں PRP
بندے NN
بولی NN
پنجاب NNP
عشق NN
دتی VBF
گے AUXT
تھاں NN
کردا VBF
جیڑا PRD
واری NN
ایتھے NN
مل VBF
کدی RB
گی AUXT
سکدا AUXM
خان NN
جاندی VBF
دور NN
ساڈے PRP
کرنا VBI
آں AUXT
دوجے OD
کردے VBF
رات NN
اونے PRP
نام NN
یار NN
عمر NNP
وار NN
اودی PRS
جاندے VBF
لگا VBF
تائیں PRR
دین VBF
دس VBF
ایو PDM
آئے AUXA
تن PRP
مگروں VBF
والیاں NN
رنگ NN
چار CD
مر NN
کتاباں NN
مطلب NN
پانی NN
را NN
حال NN
کولوں RB
شر NN
پنڈ NN
یوسف NN
رکھ VBF
مڑ VBF
شروع NN
گلاں NN
اوتھے NN
تک PSP
نظر NN
سال NN
لکھ VBF
پئے VBF
تیری PRS
سنگھ NN
آپنے APNA
ایدے PRS
تسیں PRF
پیر NN
جیڑے NN
الل PRE
آکھ VBF
نویں JJ
گھٹ Q
سانوں PRP
چھڈ VBF
اودا PRS
وچار NN
بنا NN
ودھ Q
بعد NN
سارا Q
آن VBF
کون PRP
جیناں PRR
تیرا PRS
ایسے PDM
پچھے NN
جتھے PRR
پاسے PRE
اٹھ VBF
وانگ PDM
پیو NN
اپنا APNA
ایں AUXT
سب Q
سچ NN
وڈے JJ
ساری Q
بڑا JJ
کس PRP
رانجھے NN
مون NN
پھر RB
پتر NN
پا VBF
جیڑی PRD
یاد NN
جي NN
جگ NN
حکم NN
صرف RB
بڑی JJ
محمد NNP
آوے VBF
کل NN
ان PRP
لگے VBF
میاں NN
پلے RB
سامنے NN
طرحاں NN
رن NN
ساں AUXT
اساں PRP
کیتے VBF
کن NN
دکھ NN
لگی VBF
جیا NN
نایں NN
سکھ NN
خبر NN
پے NN
لگدا VBF
مت NN
امیر JJ
رو NN
طور NN
وڈا JJ
سمجھ NN
پاروں NN
واسطے NN
ست CD
خدا NN
آپے PRF
جواب NN
جائے VBF
جانا VBI
لفظاں NN
بھر VBF
خیال NN
کیویں PDM
اجے RB
وے AUXT
دسیا VBF
اور CC
عام JJ
ء CC
ولی NN
کڑی JJ
مرد NN
روز RB
کڈھ VBF
چا VBF
موجب JJ
نا NEG
جیدے PRR
اکھاں NN
پچھیا VBF
بھائی NN
پیدا VBF
ولوں PRS
ویکھیا VBF
کدے PRP
زور NN
کار NN
حق NN
میل VBI
دیندا VBF
چپ RB
بیٹھا VBF
کتے NN
ساریاں Q
کارن NN
علی NNP
کرو VBF
کرکے SCKar
محبت NN
وانگوں PRR
آپنی APNA
چنگا JJ
جاون VBF
چل VBF
جیس PRD
لوڑ NN
کندا PRP
درد NN
وڈی JJ
پنج CD
بس RB
نانک NN
مالک NN
زمین NN
موت NN
دم NN
آون VBF
سگوں VBF
وئیاں NN
دواں VBF
بادشاہ NN
عورت NN
لکھیا VBF
پائی VBF
خوش JJ
پیار NN
پایا VBF
مال NN
آواز NN
فوج NN
بڑے JJ
اوکھے JJ
جوان JJ
ندی NN
پی VBF
کنا PRP
راج NN
مارے VBF
بھرا VBF
آهي AUXT
کراں VBF
حکومت NN
پلی JJ
لین VBF
گئیاں NN
سکدے AUXM
جیی RB
حسن NNP
نکل VBF
پیش VBF
دھی NN
وقت NN
صورت NN
دتے VBF
ملے VBF
آی VBF
پوری Q
