NN 0.30633804
JJ 0.07645875
FF 0.0040241447
SCP 0.0070422534
PRE 5.030181E-4
AUXA 0.011066399
PRD 0.0045271628
INJ 0.0015090543
PU 0.0945674
PRF 5.030181E-4
VALA 0.0020120724
FR 0.0015090543
PRP 0.056338027
SC 0.0070422534
PRS 0.011569416
NNP 0.119215295
PRR 0.0050301813
Q 0.012575453
PRT 0.0065392354
OD 0.012072435
PDM 0.0417505
VBF 0.039235413
VBI 0.0050301813
QM 5.030181E-4
CC 0.015090543
CD 0.0528169
SYM 0.0025150906
PSP 0.06287726
AUXT 0.022132797
RB 0.013581489
NEG 0.0055331993
AUXP 0.0045271628
AUXM 0.0020120724
SCK 0.0045271628
APNA 0.0050301813
